"CV-78K0R1","R20UT2140E","3.2.4","bit type variables"
"UB-CDI2","C11","J.2","1 item 81"
"UB-CDI2","CERT-C","MSC15-C",""
"UB-CDI3","C11","6.7.9","16"
"UB-CDI3","C11","J.2","1 item 83"
"UB-CDI3","CERT-C","MSC15-C",""
"UB-CDT1","C11","6.7.2.1","8"
"UB-CDT1","C11","J.2","1 item 61"
"UB-CDT1","CERT-C","MSC15-C",""
"UB-CDT2","C11","6.7.2.1",""
"UB-CDT2","C11","J.2","1 item 61"
"UB-CDT2","CERT-C","MSC15-C",""
"UB-CEA1","C11","6.5.6","8"
"UB-CEA1","C11","J.2","1 item 46"
"UB-CEA1","CERT-C","ARR30-C",""
"UB-CEA1","CERT-C","ARR37-C",""
"UB-CEA1","CERT-C","STR31-C",""
"UB-CEA2","C11","6.5.6","9"
"UB-CEA2","C11","J.2","1 item 50"
"UB-CEA2","CERT-C","MSC15-C",""
"UB-CEA5","C11","6.5.6","9"
"UB-CEA5","C11","J.2","1 item 48"
"UB-CEA5","CERT-C","ARR36-C",""
"UB-CEB12","C11","6.2.6.2","4"
"UB-CEB12","C11","J.2","1 item 14"
"UB-CEB12","CERT-C","INT13-C",""
"UB-CEB12","CERT-C","MSC15-C",""
"UB-CEB2","C11","6.5.7","3"
"UB-CEB2","C11","J.2","1 item 51"
"UB-CEB2","CERT-C","INT34-C",""
"UB-CEB3","C11","6.5.7","3"
"UB-CEB3","C11","J.2","1 item 51"
"UB-CEB3","CERT-C","INT34-C",""
"UB-CEB4","C11","6.5.7","4"
"UB-CEB4","C11","J.2","1 item 52"
"UB-CEB4","CERT-C","INT13-C",""
"UB-CEB4","CERT-C","MSC15-C",""
"UB-CEB6","C11","6.5.7","3"
"UB-CEB6","C11","J.2","1 item 51"
"UB-CEB6","CERT-C","INT34-C",""
"UB-CEB7","C11","6.5.7","3"
"UB-CEB7","C11","J.2","1 item 51"
"UB-CEB7","CERT-C","INT34-C",""
"UB-CEE1","C11","6.3.2.1","3"
"UB-CEE1","C11","J.2","1 item 22"
"UB-CEE1","CERT-C","MSC15-C",""
"UB-CEE2","C11","6.2.4",""
"UB-CEE2","C11","6.7.9",""
"UB-CEE2","C11","6.8",""
"UB-CEE2","C11","J.2","1 item 11"
"UB-CEE2","CERT-C","EXP33-C",""
"UB-CEE3","C11","6.3.2.1","1"
"UB-CEE3","C11","J.2","1 item 19"
"UB-CEE3","CERT-C","ARR30-C",""
"UB-CEE3","CERT-C","ARR37-C",""
"UB-CEE3","CERT-C","STR31-C",""
"UB-CEE4","C11","6.2.4","2"
"UB-CEE4","C11","J.2","1 item 9"
"UB-CEE4","CERT-C","DCL21-C",""
"UB-CEE4","CERT-C","DCL30-C",""
"UB-CEE4","CERT-C","MEM30-C",""
"UB-CEE5","C11","6.3.2.1","2"
"UB-CEE5","C11","J.2","1 item 20"
"UB-CEE5","CERT-C","MSC15-C",""
"UB-CEER1","C11","6.3.2.1","1"
"UB-CEER1","C11","J.2","1 item 19"
"UB-CEER1","CERT-C","ERR33-C",""
"UB-CEER1","CERT-C","EXP34-C",""
"UB-CEER4","C11","5.1.2.4","25"
"UB-CEER4","C11","J.2","1 item 5"
"UB-CEER4","CERT-C","MSC15-C",""
"UB-CEER5","C11","5.1.2.4","25"
"UB-CEER5","C11","J.2","1 item 5"
"UB-CEER5","CERT-C","MSC15-C",""
"UB-CEM1","C11","6.5.2.3","5"
"UB-CEM1","C11","J.2","1 item 42"
"UB-CEM1","CERT-C","MSC15-C",""
"UB-CEM2","C11","6.5.2.3","5"
"UB-CEM2","C11","J.2","1 item 42"
"UB-CEM2","CERT-C","MSC15-C",""
"UB-CEMX1","C11","6.5.5","5"
"UB-CEMX1","C11","J.2","1 item 45"
"UB-CEMX1","CERT-C","INT33-C",""
"UB-CEMX2","C11","6.5.5","5"
"UB-CEMX2","C11","J.2","1 item 45"
"UB-CEMX2","CERT-C","INT33-C",""
"UB-CEMX3","C11","6.5","5"
"UB-CEMX3","C11","J.2","1 item 36"
"UB-CEMX3","CERT-C","FLP32-C",""
"UB-CER3","C11","6.5.3.2","4"
"UB-CER3","C11","J.2","1 item 43"
"UB-CER3","CERT-C","EXP34-C",""
"UB-CER4","C11","6.5.6","8"
"UB-CER4","C11","J.2","1 items 47 and 49"
"UB-CER4","CERT-C","ARR30-C",""
"UB-CER4","CERT-C","ARR37-C",""
"UB-CER4","CERT-C","STR31-C",""
"UB-CERL1","C11","6.5.8","5"
"UB-CERL1","C11","J.2","1 item 53"
"UB-CERL1","CERT-C","ARR36-C",""
"UB-CERL2","C11","6.5.8","5"
